,name,github_id,labels,category,homepage,contributor_count,description,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,{},57.0,,1,False,1.0,-20.0
1,best-of-mkdocs,mkdocs/catalog,,documentation,{},63.0,,1,False,1.0,
2,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,{},25.0,,1,False,1.0,
3,awesome-gpts,taranjeet/awesome-gpts,['python'],data-engineering,{},28.0,,1,False,1.0,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,{},14.0,,0,False,,-17.0
5,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,{},17.0,,0,False,,-18.0
6,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,{},4.0,,0,False,,
7,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,{},18.0,,0,False,,-18.0
8,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,{},9.0,,0,False,,-17.0
9,best-of-ml-julia,e-tornike/best-of-ml-julia,,data-engineering,{},,,0,False,,
10,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,{},4.0,,0,False,,
11,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,{},9.0,,0,False,,
12,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,{},5.0,,0,False,,
13,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,{},5.0,,0,False,,
14,best-of-fastapi,fkromer/best-of-fastapi,['python'],web-dev,{},,,0,False,,
15,best-of-django,fkromer/best-of-django,['python'],web-dev,{},,,0,False,,
16,best-of-ps,jinningwang/best-of-ps,,others,{},7.0,,0,False,,
17,best-of-vue,fkromer/best-of-vue,['javascript'],web-dev,{},,,0,False,,
18,best-of-scala,stkeky/best-of-scala,,programming-languages,{},13.0,,0,False,,
19,best-of-react-native,fkromer/best-of-react-native,,native-dev,{},,,0,False,,
20,best-of-robot-simulators,knmcguire/best-of-robot-simulators,,robot-dev,{},17.0,,0,False,,
21,best-of-rust-on-embedded-linux,fkromer/best-of-rust-on-embedded-linux,,embedded-dev,{},,,0,False,,
22,best-of-digital-identity,jruizaranguren/best-of-digital-identity,,internet,{},7.0,,0,False,,
23,best-of-nix,tolkonepiu/best-of-nix,,programming-languages,{},6.0,,0,False,,
24,best-of-mcp-servers,tolkonepiu/best-of-mcp-servers,,data-engineering,{},8.0,,0,False,,
